id,from,to,time,accel
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:25:00,0.6154903,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:26:00,0.67857784,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:26:00,0.81398684,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:26:00,0.55548,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:26:00,0.44469303,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:26:00,0.8139871,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:26:00,1.1717213,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:27:00,0.4446919,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:27:00,0.1861856,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:27:00,0.18618563,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:27:00,0.5554798,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:27:00,0.15387309,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:27:00,0.18618555,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:28:00,0.1538725,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:28:00,0.74474275,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:28:00,0.18618563,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:28:00,0.6154902,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:28:00,0.8863071,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:28:00,0.18618645,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:29:00,0.26004437,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:29:00,0.15387325,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:29:00,0.221577,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:29:00,0.18618563,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:29:00,0.18618558,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:29:00,0.2600445,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:30:00,0.18618633,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:30:00,0.18618558,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:30:00,0.2600453,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:30:00,0.61549,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:30:00,0.18618552,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:30:00,0.22157703,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:31:00,0.15387242,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:31:00,0.15387242,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:31:00,0.1538725,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:31:00,0.1538725,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:31:00,0.22157618,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:31:00,0.8139852,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:32:00,0.124636725,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:32:00,0.15387316,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:32:00,0.1538732,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:32:00,0.15387309,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:32:00,0.15387239,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:32:00,0.22157703,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:33:00,0.67857784,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:33:00,0.44469175,None
1423537428987,2015-09-02 22:03:00,2015-10-02 07:29:00,2015-09-02 22:33:00,0.15387316,None
